[40]rt_x,[40]rt_y,[40]rt_z,[41]rt_x,[41]rt_y,[41]rt_z,[42]rt_x,[42]rt_y,[42]rt_z,[43]rt_x,[43]rt_y,[43]rt_z,[44]rt_x,[44]rt_y,[44]rt_z,[45]rt_x,[45]rt_y,[45]rt_z,[46]rt_x,[46]rt_y,[46]rt_z,[47]rt_x,[47]rt_y,[47]rt_z,[48]rt_x,[48]rt_y,[48]rt_z,[49]rt_x,[49]rt_y,[49]rt_z,[50]rt_x,[50]rt_y,[50]rt_z,[51]rt_x,[51]rt_y,[51]rt_z,[52]rt_x,[52]rt_y,[52]rt_z,[53]rt_x,[53]rt_y,[53]rt_z,[54]rt_x,[54]rt_y,[54]rt_z,[55]rt_x,[55]rt_y,[55]rt_z,[56]rt_x,[56]rt_y,[56]rt_z,[57]rt_x,[57]rt_y,[57]rt_z,[58]rt_x,[58]rt_y,[58]rt_z,FingersNumber
-20.81527,0,-64.33176,32.90256,0,-16.44756,-31.34291,0,0,0,0,0,-15,0,-102.179,0,0,-13.52343,0,0,-6.761715,0,0,0,0,0,-68.89818,0,0,-68.89818,0,0,-68.89818,0,0,0,15,0,-21.10964,0,0,-21.10964,0,0,-21.10964,0,0,0,25,0,-48.45628,0,0,-48.45628,0,0,-48.45628,1
-20.81527,0,-64.3503,32.85817,0,-16.4661,-31.3695,0,0,0,0,0,-15,0,-102.2085,0,0,-13.53125,0,0,-6.765625,0,0,0,0,0,-68.89698,0,0,-68.89698,0,0,-68.89698,0,0,0,15,0,-21.13193,0,0,-21.13193,0,0,-21.13193,0,0,0,25,0,-48.49707,0,0,-48.49707,0,0,-48.49707,1
-20.83746,0,-64.3503,32.85817,0,-16.4661,-31.3695,0,0,0,0,0,-15,0,-102.2085,0,0,-13.53125,0,0,-6.765625,0,0,0,0,0,-68.89698,0,0,-68.89698,0,0,-68.89698,0,0,0,15,0,-21.13193,0,0,-21.13193,0,0,-21.13193,0,0,0,25,0,-48.49707,0,0,-48.49707,0,0,-48.49707,1
-20.83746,0,-64.3503,32.85817,0,-16.4661,-31.3695,0,0,0,0,0,-15,0,-102.2085,0,0,-13.53125,0,0,-6.765625,0,0,0,0,0,-68.89698,0,0,-68.89698,0,0,-68.89698,0,0,0,15,0,-21.13193,0,0,-21.13193,0,0,-21.13193,0,0,0,25,0,-48.49707,0,0,-48.49707,0,0,-48.49707,1
-20.83746,0,-64.3503,32.85817,0,-16.4661,-31.3695,0,0,0,0,0,-15,0,-102.2085,0,0,-13.53125,0,0,-6.765625,0,0,0,0,0,-68.89698,0,0,-68.89698,0,0,-68.89698,0,0,0,15,0,-21.13193,0,0,-21.13193,0,0,-21.13193,0,0,0,25,0,-48.49707,0,0,-48.49707,0,0,-48.49707,1
-20.83746,0,-64.3503,32.85817,0,-16.4661,-31.3695,0,0,0,0,0,-15,0,-102.2085,0,0,-13.53125,0,0,-6.765625,0,0,0,0,0,-68.89698,0,0,-68.89698,0,0,-68.89698,0,0,0,15,0,-21.13193,0,0,-21.13193,0,0,-21.13193,0,0,0,25,0,-48.49707,0,0,-48.49707,0,0,-48.49707,1
-20.83477,0,-64.35671,32.86357,0,-16.47249,-31.41806,0,0,0,0,0,-15,0,-102.2109,0,0,-13.53249,0,0,-6.766245,0,0,0,0,0,-68.89796,0,0,-68.89796,0,0,-68.89796,0,0,0,15,0,-21.13355,0,0,-21.13355,0,0,-21.13355,0,0,0,25,0,-48.49516,0,0,-48.49516,0,0,-48.49516,1
-20.83431,0,-64.35796,32.86448,0,-16.47377,-31.35691,0,0,0,0,0,-15,0,-102.2034,0,0,-13.54555,0,0,-6.772773,0,0,0,0,0,-68.89751,0,0,-68.89751,0,0,-68.89751,0,0,0,15,0,-21.12803,0,0,-21.12803,0,0,-21.12803,0,0,0,25,0,-48.48114,0,0,-48.48114,0,0,-48.48114,1
-20.83232,0,-64.36147,32.86843,0,-16.47728,-31.30586,0,0,0,0,0,-15,0,-102.1992,0,0,-13.53779,0,0,-6.768894,0,0,0,0,0,-68.89753,0,0,-68.89753,0,0,-68.89753,0,0,0,15,0,-21.13135,0,0,-21.13135,0,0,-21.13135,0,0,0,25,0,-48.47961,0,0,-48.47961,0,0,-48.47961,1
-20.82868,0,-64.36916,32.87574,0,-16.48497,-31.3648,0,0,0,0,0,-15,0,-102.1977,0,0,-13.5257,0,0,-6.762848,0,0,0,0,0,-68.9,0,0,-68.9,0,0,-68.9,0,0,0,15,0,-21.13478,0,0,-21.13478,0,0,-21.13478,0,0,0,25,0,-48.4842,0,0,-48.4842,0,0,-48.4842,1
-20.8211,0,-64.37444,32.89087,0,-16.49025,-31.42801,0,0,0,0,0,-15,0,-102.1899,0,0,-13.5069,0,0,-6.753448,0,0,0,0,0,-68.89719,0,0,-68.89719,0,0,-68.89719,0,0,0,15,0,-21.13674,0,0,-21.13674,0,0,-21.13674,0,0,0,25,0,-48.48611,0,0,-48.48611,0,0,-48.48611,1
-20.81395,0,-64.36883,32.90519,0,-16.48464,-31.49844,0,0,0,0,0,-15,0,-102.1936,0,0,-13.48655,0,0,-6.743275,0,0,0,0,0,-68.90255,0,0,-68.90255,0,0,-68.90255,0,0,0,15,0,-21.14293,0,0,-21.14293,0,0,-21.14293,0,0,0,25,0,-48.48851,0,0,-48.48851,0,0,-48.48851,1
-20.80381,0,-64.36733,32.92544,0,-16.48315,-31.59195,0,0,0,0,0,-15,0,-102.1884,0,0,-13.46613,0,0,-6.733064,0,0,0,0,0,-68.90577,0,0,-68.90577,0,0,-68.90577,0,0,0,15,0,-21.14784,0,0,-21.14784,0,0,-21.14784,0,0,0,25,0,-48.48332,0,0,-48.48332,0,0,-48.48332,1
-20.79629,0,-64.37165,32.94051,0,-16.48746,-31.72058,0,0,0,0,0,-15,0,-102.1861,0,0,-13.46379,0,0,-6.731896,0,0,0,0,0,-68.91082,0,0,-68.91082,0,0,-68.91082,0,0,0,15,0,-21.15792,0,0,-21.15792,0,0,-21.15792,0,0,0,25,0,-48.46088,0,0,-48.46088,0,0,-48.46088,1
-20.79079,0,-64.37227,32.95152,0,-16.48807,-31.78225,0,0,0,0,0,-15,0,-102.1793,0,0,-13.46049,0,0,-6.730247,0,0,0,0,0,-68.90955,0,0,-68.90955,0,0,-68.90955,0,0,0,15,0,-21.16376,0,0,-21.16376,0,0,-21.16376,0,0,0,25,0,-48.46189,0,0,-48.46189,0,0,-48.46189,1
-20.78797,0,-64.37721,32.95716,0,-16.49301,-31.84333,0,0,0,0,0,-15,0,-102.1959,0,0,-13.4401,0,0,-6.720051,0,0,0,0,0,-68.90591,0,0,-68.90591,0,0,-68.90591,0,0,0,15,0,-21.17178,0,0,-21.17178,0,0,-21.17178,0,0,0,25,0,-48.46916,0,0,-48.46916,0,0,-48.46916,1
-20.78503,0,-64.38162,32.96301,0,-16.49745,-31.87386,0,0,0,0,0,-15,0,-102.1964,0,0,-13.41964,0,0,-6.709819,0,0,0,0,0,-68.9063,0,0,-68.9063,0,0,-68.9063,0,0,0,15,0,-21.17571,0,0,-21.17571,0,0,-21.17571,0,0,0,25,0,-48.4589,0,0,-48.4589,0,0,-48.4589,1
-20.77761,0,-64.38773,32.97789,0,-16.50353,-31.92179,0,0,0,0,0,-15,0,-102.2114,0,0,-13.40031,0,0,-6.700157,0,0,0,0,0,-68.90868,0,0,-68.90868,0,0,-68.90868,0,0,0,15,0,-21.18845,0,0,-21.18845,0,0,-21.18845,0,0,0,25,0,-48.46014,0,0,-48.46014,0,0,-48.46014,1
-20.77179,0,-64.39654,32.98951,0,-16.51235,-31.96917,0,0,0,0,0,-15,0,-102.2234,0,0,-13.37738,0,0,-6.688691,0,0,0,0,0,-68.9058,0,0,-68.9058,0,0,-68.9058,0,0,0,15,0,-21.19973,0,0,-21.19973,0,0,-21.19973,0,0,0,25,0,-48.45827,0,0,-48.45827,0,0,-48.45827,1
