[40]rt_x,[40]rt_y,[40]rt_z,[41]rt_x,[41]rt_y,[41]rt_z,[42]rt_x,[42]rt_y,[42]rt_z,[43]rt_x,[43]rt_y,[43]rt_z,[44]rt_x,[44]rt_y,[44]rt_z,[45]rt_x,[45]rt_y,[45]rt_z,[46]rt_x,[46]rt_y,[46]rt_z,[47]rt_x,[47]rt_y,[47]rt_z,[48]rt_x,[48]rt_y,[48]rt_z,[49]rt_x,[49]rt_y,[49]rt_z,[50]rt_x,[50]rt_y,[50]rt_z,[51]rt_x,[51]rt_y,[51]rt_z,[52]rt_x,[52]rt_y,[52]rt_z,[53]rt_x,[53]rt_y,[53]rt_z,[54]rt_x,[54]rt_y,[54]rt_z,[55]rt_x,[55]rt_y,[55]rt_z,[56]rt_x,[56]rt_y,[56]rt_z,[57]rt_x,[57]rt_y,[57]rt_z,[58]rt_x,[58]rt_y,[58]rt_z,FingersNumber
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
-26.91494,0,-54.35831,20.70557,0,-6.471266,66.60833,0,0,0,0,0,-15,0,-62.33042,0,0,-39.05242,0,0,-19.52621,0,0,0,0,0,2.909806,0,0,2.909806,0,0,2.909806,0,0,0,15,0,-63.2843,0,0,-63.2843,0,0,-63.2843,0,0,0,25,0,-65.61222,0,0,-65.61222,0,0,-65.61222,1
